Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
1,2002,14,Chhattisgarh,Durg,chickpea,122650.0,637.98,11.48364,6.3798,11.48364,1408468.446,782482.47,1408468.446,20.0,60.0,6.5,600.0,1.5,16.0
1,2002,14,Chhattisgarh,Durg,cotton,20.0,500.0,13.5,6.0,13.5,270.0,120.0,270.0,28.0,65.0,6.0,700.0,3.0,22.0
1,2003,14,Chhattisgarh,Durg,rice,766580.0,1494.73,37.36825,17.93676,32.884060000000005,28645753.085,13749961.4808,25208262.714800004,25.0,80.0,6.5,1200.0,2.0,18.0
1,2003,14,Chhattisgarh,Durg,maize,3400.0,983.49,26.55423,11.80188,16.71933,90284.382,40126.392,56845.722,22.0,70.0,6.0,800.0,2.5,20.0
1,2003,14,Chhattisgarh,Durg,chickpea,138930.0,981.46,17.66628,9.8146,17.66628,2454376.2804,1363542.378,2454376.2804,20.0,60.0,6.5,600.0,1.5,16.0
1,2003,14,Chhattisgarh,Durg,cotton,70.0,714.29,19.28583,8.57148,19.28583,1350.0081,600.0036,1350.0081,28.0,65.0,6.0,700.0,3.0,22.0
1,2004,14,Chhattisgarh,Durg,rice,775990.0,1268.46,31.711500000000004,15.221520000000002,27.90612,24607806.885,11811747.304800002,21654870.0588,25.0,80.0,6.5,1200.0,2.0,18.0
1,2004,14,Chhattisgarh,Durg,maize,3260.0,1186.04,32.02308,14.23248,20.16268,104395.2408,46397.8848,65730.33679999999,22.0,70.0,6.0,800.0,2.5,20.0
1,2004,14,Chhattisgarh,Durg,chickpea,163220.0,501.01,9.01818,5.0101,9.01818,1471947.3395999998,817748.5219999999,1471947.3395999998,20.0,60.0,6.5,600.0,1.5,16.0
1,2004,14,Chhattisgarh,Durg,cotton,410.0,512.2,13.829400000000003,6.146400000000002,13.829400000000003,5670.054000000001,2520.024000000001,5670.054000000001,28.0,65.0,6.0,700.0,3.0,22.0
1,2005,14,Chhattisgarh,Durg,rice,775990.0,1268.46,31.711500000000004,15.221520000000002,27.90612,24607806.885,11811747.304800002,21654870.0588,25.0,80.0,6.5,1200.0,2.0,18.0
